GSM,condition,reviewed_cell_compartment,cells,ECM_organization_score1,collagen_formation_score1,collagen_biosynthesis_score1,neutrophil_degranulation_score1,innate_immune_system_score1,cell_cycle_mitotic_score1
GSM4729097,normal_skin,T_cell,4,-0.008668720911006848,-0.07431280317383758,-0.08375374580908163,0.05602020207850658,0.06005540907222179,0.030849535323538464
GSM4729097,normal_skin,basal_keratinocyte,98,0.025653560726269856,-0.023102938189564288,-0.06772906430183254,0.07104090403797357,0.06648168130269831,0.030605155396974008
GSM4729097,normal_skin,endothelial_IGF2,112,0.02201750209403259,-0.045330279703525836,-0.06476061625177154,0.052750297718460064,0.0612286856779877,0.012735576638940224
GSM4729097,normal_skin,fibroblast_CXCL14_CFD,1,0.17859777304832228,0.31829741163696146,0.4445576511618148,0.029703682397164276,0.03416366867618386,-0.007909620136167583
GSM4729097,normal_skin,fibroblast_TWIST1,715,0.10744479850168148,0.06009442877561526,0.08208866984871065,0.07436476912888534,0.06411861144685266,0.012205726581140122
GSM4729097,normal_skin,lymphatic_endothelial,7,0.017625318216046806,-0.04004160555916428,-0.071147283944249,0.0749078216641037,0.05708625294738624,0.028202252909800725
GSM4729097,normal_skin,melanocyte,32,0.036172940845503904,0.0038537281823127468,-0.01485560416119347,0.08469888016243106,0.06592435936859792,0.02028789655888236
GSM4729097,normal_skin,myeloid_macrophage,134,0.008929980556378713,-0.04816478484151455,-0.08225223644320412,0.13108361621226305,0.10267894738529616,0.01453037714390266
GSM4729097,normal_skin,vascular_endothelial_PECAM1,3,0.03852843299967995,-0.014773461393720252,-0.0585887661375398,0.040773584939187174,0.06112965580420082,0.005300732899269124
GSM4729098,normal_skin,T_cell,380,-0.01923671851385683,-0.10602917827448567,-0.11771692421419694,0.14116621536874097,0.1252616181138436,0.05503745983651744
GSM4729098,normal_skin,activated_fibroblast_POSTN_ADAM12,1,-0.012223455083194508,-0.05357838709245092,-0.05382724418696713,0.14022248812829893,0.12033704298918169,0.02485948476989333
GSM4729098,normal_skin,basal_keratinocyte,680,-0.016634529451711004,-0.09511683944554833,-0.1306567717137335,0.16197490137535797,0.14016087716445594,0.09085407121758347
GSM4729098,normal_skin,fibroblast_CILP,583,0.2724155856035532,0.22927718175699824,0.27229599952634204,0.24202766573938544,0.19040702932933637,0.04913626324661835
GSM4729098,normal_skin,fibroblast_CXCL12_APOE,858,0.15590045080815904,0.08745415533355128,0.12326785237834834,0.19535427156024981,0.16859124945048756,0.05515589076473413
GSM4729098,normal_skin,fibroblast_CXCL14_CFD,7,0.13911959378301691,0.11581908929298006,0.13734761605468132,0.12684569037650714,0.1147250799117389,0.0338843187284533
GSM4729098,normal_skin,fibroblast_PCOLCE2_IGFBP6,6,0.27139704592716984,0.27792437337969583,0.34798872349105325,0.2006588545900586,0.1679959950735908,0.05846050273789946
GSM4729098,normal_skin,fibroblast_PI16_ELN,1,0.23659514807393214,0.2445302894187159,0.2650196934008383,0.13523740900662906,0.12083754570967611,0.015795944635025524
GSM4729098,normal_skin,lymphatic_endothelial,74,0.020386354517818617,-0.09634742573634834,-0.12693286077038257,0.18261222141761443,0.15059178435412363,0.0621439000630446
GSM4729098,normal_skin,melanocyte,151,0.013356462163918751,-0.08734030911735988,-0.10494378053784652,0.22847015211751948,0.17065058221169163,0.06352012115850193
GSM4729098,normal_skin,myeloid_macrophage,568,-0.00654608034399478,-0.08279993311633102,-0.13056528831268713,0.2441502476793862,0.19042480383955984,0.04209803383431679
GSM4729098,normal_skin,pericyte_smc,320,0.059083436601173205,-0.03497681060848181,-0.031176302107957177,0.13760540265177998,0.12475003768145851,0.06161677094090339
GSM4729098,normal_skin,schwann_like,1,0.08898130736021824,0.09533894545684873,0.11482361161385676,0.18858534438535418,0.17484829790362474,0.06680466141037028
GSM4729098,normal_skin,vascular_endothelial_ACKR1,259,0.01098162611431758,-0.11702026892451374,-0.136648186894597,0.17477754787891053,0.15836033355193171,0.058767970425641435
GSM4729098,normal_skin,vascular_endothelial_PECAM1,32,0.0624154554535282,-0.020001924790995673,-0.03989854695443694,0.1378508736062826,0.121220429334885,0.03643761460526052
GSM4729099,normal_skin,T_cell,44,-0.01221218633628695,-0.06988734792961962,-0.07790906897329794,0.12723280297482717,0.10802694918845424,0.04013747082968831
GSM4729099,normal_skin,basal_keratinocyte,288,-0.005898720633302918,-0.07051397392611905,-0.11427173225274907,0.12595778623464693,0.11552161893141853,0.06875951827071991
GSM4729099,normal_skin,fibroblast_CILP,68,0.20938318379096027,0.14230331064191015,0.16472682184277726,0.17384961423636922,0.14291787295792233,0.033466100695519266
GSM4729099,normal_skin,fibroblast_CXCL12_APOE,147,0.12873532252393166,0.04490724337055002,0.06884045806408068,0.17132924784513665,0.1490721477671692,0.05184791974444374
GSM4729099,normal_skin,fibroblast_CXCL14_CFD,4,0.05364891451151469,0.002295502241207066,0.016471949186723494,0.1018701758516044,0.08287488042718587,0.031371465476909645
GSM4729099,normal_skin,fibroblast_PI16_ELN,3,0.20487418483074454,0.13377438476543324,0.17625421311564987,0.2303459436387603,0.185521997439613,0.047240250109701225
GSM4729099,normal_skin,lymphatic_endothelial,2,0.008392889214488816,-0.11203237601904899,-0.12449210808990675,0.15879547651108789,0.14011603067137637,0.044415075363102165
GSM4729099,normal_skin,melanocyte,34,0.01171864295498124,-0.07041178969957476,-0.10147880447460315,0.20341428031687134,0.14942966212342426,0.05532288807828132
GSM4729099,normal_skin,myeloid_macrophage,34,-0.014803896033310088,-0.07872675572602328,-0.13067596959366767,0.24536107693394515,0.1897477413981832,0.0393073385955441
GSM4729099,normal_skin,pericyte_smc,40,0.03541003026264002,-0.04302024264428485,-0.039674634707906595,0.12071480386673251,0.10805379061854568,0.05885020225827492
GSM4729099,normal_skin,vascular_endothelial_ACKR1,23,-0.0066461939431612296,-0.1375350048175581,-0.17647844834500925,0.18223057626622918,0.16845166628039315,0.06436515764397231
GSM4729099,normal_skin,vascular_endothelial_PECAM1,22,0.020707125011753064,-0.04480679491332041,-0.06712497378572863,0.08012937419279338,0.08086125295204576,0.02660202080886014
GSM4729100,hypertrophic_scar,T_cell,613,-0.022758952192276707,-0.10661353867821169,-0.11121922915817882,0.13639570586015587,0.12875768921189643,0.060221590964895585
GSM4729100,hypertrophic_scar,activated_fibroblast_POSTN_ADAM12,16,0.18678522727142455,0.21874613851567765,0.2907977223232686,0.16446902445390313,0.14225553182188974,0.040660912467413185
GSM4729100,hypertrophic_scar,basal_keratinocyte,264,-0.015344739242932049,-0.08373872612201898,-0.12049385878044969,0.15059803180418746,0.13915361116494432,0.09720272722890994
GSM4729100,hypertrophic_scar,fibroblast_CILP,4,0.3238329738275715,0.3227693080172697,0.386069390658602,0.27787971852644655,0.21160826489902823,0.04741892398116436
GSM4729100,hypertrophic_scar,fibroblast_CXCL12_APOE,599,0.19342068835862833,0.17742729661424966,0.2418149064468391,0.19910313359125922,0.16980944715298962,0.059956516329198496
GSM4729100,hypertrophic_scar,fibroblast_CXCL14_CFD,35,0.19962360470431215,0.28080026905880745,0.3708694142867087,0.11058756240840696,0.0913945030336297,0.03330305323912191
GSM4729100,hypertrophic_scar,fibroblast_PCOLCE2_IGFBP6,10,0.3198934513490573,0.34050339377772165,0.42765003983314553,0.21350906231354774,0.16410263876321382,0.0455788009671689
GSM4729100,hypertrophic_scar,fibroblast_PI16_ELN,721,0.30109606539997524,0.33274857673518415,0.42052080308124,0.23291071707652,0.18378975762786715,0.05583288777261907
GSM4729100,hypertrophic_scar,lymphatic_endothelial,86,0.036606266055411764,-0.07790384700923658,-0.11132673215493678,0.22233121838827477,0.19099471019342112,0.09371584492493694
GSM4729100,hypertrophic_scar,melanocyte,16,-0.003911356373222684,-0.08607403192212318,-0.1166087228359326,0.27290616439786164,0.20804145714343947,0.09092962666139325
GSM4729100,hypertrophic_scar,myeloid_macrophage,239,-0.013644010498823087,-0.09083549963812956,-0.12971928107135136,0.25373158106924093,0.2015943240142473,0.049335993997361584
GSM4729100,hypertrophic_scar,pericyte_smc,130,0.06437391964934024,0.013728119854820831,0.041289115153524014,0.145617941295374,0.12885809709443827,0.07550944432672485
GSM4729100,hypertrophic_scar,vascular_endothelial_ACKR1,438,0.006041111869225897,-0.12209011759763205,-0.14454273965547879,0.18816835484888506,0.17799193871783067,0.0786231814146889
GSM4729100,hypertrophic_scar,vascular_endothelial_PECAM1,14,0.056036147692135455,-0.02567052209640656,-0.019662093993607202,0.12529271491604738,0.10939118728391853,0.037951273424235904
GSM4729101,hypertrophic_scar,T_cell,345,-0.025916349448537584,-0.10097206654582816,-0.10944007138270678,0.10908020292272691,0.10107654393316247,0.050478464068575
GSM4729101,hypertrophic_scar,activated_fibroblast_POSTN_ADAM12,6,0.25459354631766046,0.29144005617538804,0.370770952706471,0.1811655975054218,0.14831955965873128,0.03773996096540708
GSM4729101,hypertrophic_scar,basal_keratinocyte,652,0.03348256351975846,-0.002686684316488309,-0.003674246838192597,0.10928785273064072,0.09429481452497829,0.051556568792643975
GSM4729101,hypertrophic_scar,endothelial_IGF2,1,0.0773982112799898,-0.03097579183792426,-0.09571743410727346,0.1680405719980282,0.10523356515147893,0.011001354129122606
GSM4729101,hypertrophic_scar,fibroblast_CILP,3,0.3252784078368936,0.310267400386555,0.38197872471570843,0.14876530351195535,0.11785083734939356,0.009557406868667767
GSM4729101,hypertrophic_scar,fibroblast_CXCL12_APOE,419,0.17195462031903858,0.15762223233885242,0.21846004165539845,0.1600334462248634,0.13602879222738612,0.042862422251648914
GSM4729101,hypertrophic_scar,fibroblast_CXCL14_CFD,2174,0.1739289904868651,0.18578801820571939,0.24419184244362097,0.11675531560414586,0.0958534373836036,0.02432305534763225
GSM4729101,hypertrophic_scar,fibroblast_PCOLCE2_IGFBP6,907,0.2893490216409063,0.3038087015337641,0.3728822960223808,0.2103891291931177,0.167161990117434,0.041340343558348154
GSM4729101,hypertrophic_scar,fibroblast_PI16_ELN,6,0.26908650360053205,0.32481459222933307,0.40686449662469937,0.1802146240792352,0.1472293570503309,0.046963696868330296
GSM4729101,hypertrophic_scar,fibroblast_TWIST1,1,0.020439651497628775,-0.07004827612556894,-0.07628760492254558,0.04578887831578766,0.04361231010322042,0.03812724905255477
GSM4729101,hypertrophic_scar,lymphatic_endothelial,344,0.04562857020508308,-0.022399116009930387,-0.0324463519920092,0.12500820698732076,0.11051703086427477,0.04947140434099273
GSM4729101,hypertrophic_scar,melanocyte,26,-0.017196202380905534,-0.09928227952078496,-0.12606621945806448,0.18948658846965252,0.1439869120907124,0.06618410216514826
GSM4729101,hypertrophic_scar,myeloid_macrophage,264,-0.0077226242368922185,-0.07442616235158468,-0.1018897639862349,0.20090460339684343,0.15924660272292107,0.036718376678785074
GSM4729101,hypertrophic_scar,pericyte_smc,774,0.0380486069074771,-0.047242595248314,-0.04478115957197503,0.11146517419724229,0.10206173683159961,0.06339250747149956
GSM4729101,hypertrophic_scar,vascular_endothelial_ACKR1,580,0.012677134325652456,-0.10485506194799991,-0.13700811445938763,0.14710645097684968,0.14036324333481076,0.04864512724221325
GSM4729101,hypertrophic_scar,vascular_endothelial_PECAM1,1496,0.058242651186590666,0.005274109298943379,0.013051904771963264,0.10446023340056014,0.09656767259414444,0.03050008490666116
GSM4729102,hypertrophic_scar,T_cell,718,-0.0074862200733542454,-0.062325426882193384,-0.05649101881172695,0.11428739710918868,0.10612588922332124,0.048477196000131895
GSM4729102,hypertrophic_scar,activated_fibroblast_POSTN_ADAM12,2721,0.3528850676007573,0.43728598333476915,0.541796754359995,0.19213178638989747,0.1620335235706138,0.05201186788495811
GSM4729102,hypertrophic_scar,basal_keratinocyte,228,-0.005700250301403807,-0.06377310698076584,-0.08156745201574093,0.16625074109016066,0.1459733517092816,0.09878490243299141
GSM4729102,hypertrophic_scar,endothelial_IGF2,2,0.08912194004529181,0.13137524416543817,0.06512324340807721,0.061230348781629404,0.06642658668362442,4.7807853581457657e-4
GSM4729102,hypertrophic_scar,fibroblast_CXCL12_APOE,369,0.2314364883882067,0.26013639107617414,0.3391204629481653,0.17939731301944375,0.15792611479336874,0.048364165036858434
GSM4729102,hypertrophic_scar,fibroblast_CXCL14_CFD,30,0.22302389901037875,0.3150445185111258,0.40213870516348527,0.11392876082794137,0.09491224156510442,0.03876971925847603
GSM4729102,hypertrophic_scar,fibroblast_PCOLCE2_IGFBP6,15,0.3553228548353709,0.3885758242850444,0.46088482522797247,0.21685784696118954,0.18095399170177465,0.059932862197557904
GSM4729102,hypertrophic_scar,fibroblast_PI16_ELN,12,0.3211695619058215,0.3981760401662582,0.505211451253762,0.18305862812835783,0.14637041103565535,0.031127730737109418
GSM4729102,hypertrophic_scar,fibroblast_TWIST1,9,0.2630610268959978,0.3514773437231719,0.43981427046098737,0.12082807327560062,0.10435707741494128,0.021873025652634877
GSM4729102,hypertrophic_scar,lymphatic_endothelial,51,0.07120410214663092,-0.01906825497717253,-0.05132692970016198,0.17303354772525073,0.1529085508441169,0.07044731822671733
GSM4729102,hypertrophic_scar,melanocyte,4,0.020419927270160926,-0.0445196010400068,-0.057920475107607894,0.2545542393994322,0.1828385593706552,0.0891741663662443
GSM4729102,hypertrophic_scar,myeloid_macrophage,434,0.005758671122608053,-0.043627122076764585,-0.0855563408337694,0.26342789592321736,0.20808525744003664,0.03886048101955166
GSM4729102,hypertrophic_scar,pericyte_smc,235,0.1180321163209689,0.10425454894533186,0.14624000503308204,0.13232570151813972,0.12429433574422419,0.05807551616101042
GSM4729102,hypertrophic_scar,schwann_like,36,0.22310863594350075,0.31219531042101656,0.35541195171234635,0.2223212193015812,0.18454030339959449,0.10371334687092945
GSM4729102,hypertrophic_scar,vascular_endothelial_ACKR1,431,0.06071507078205714,-0.03965204867509501,-0.06131799641291524,0.1785491504981654,0.1765663411317209,0.06591733833720481
GSM4729102,hypertrophic_scar,vascular_endothelial_PECAM1,44,0.13666137573203083,0.1224332471269321,0.14906327671468972,0.13352817700211783,0.1247040783840796,0.04459719958786141
