gs_name,contrast,Direction_stage_only,Direction_nonE_restricted,PValue_stage_only,PValue_nonE_restricted,FDR_stage_only,FDR_nonE_restricted,NGenes_stage_only,NGenes_nonE_restricted,stable_FDR05
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,early_wound_vs_normal_skin,Up,Up,4.7625579213883725e-19,3.473585546150239e-20,2.3812789606941862e-17,1.7367927730751194e-18,199,199,TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE,early_wound_vs_normal_skin,Up,Up,5.310908253863552e-12,6.836268649037054e-11,9.772108908142946e-11,1.3253548059334696e-9,199,199,TRUE
HALLMARK_ALLOGRAFT_REJECTION,early_wound_vs_normal_skin,Up,Up,5.863265344885767e-12,7.952128835600816e-11,9.772108908142946e-11,1.3253548059334696e-9,189,189,TRUE
HALLMARK_INFLAMMATORY_RESPONSE,early_wound_vs_normal_skin,Up,Up,5.390844431931474e-11,7.177525465722293e-10,6.738555539914342e-10,8.971906832152867e-9,194,194,TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING,early_wound_vs_normal_skin,Up,Up,1.3357922742629535e-10,9.615316837219717e-10,1.3357922742629534e-9,9.615316837219717e-9,85,85,TRUE
HALLMARK_COMPLEMENT,early_wound_vs_normal_skin,Up,Up,6.647386514049103e-9,2.1868499709029967e-8,5.5394887617075865e-8,1.8223749757524974e-7,192,192,TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE,early_wound_vs_normal_skin,Up,Up,4.1173263591841e-8,2.4073593621464487e-7,2.9409473994172143e-7,1.337421867859138e-6,97,97,TRUE
HALLMARK_COAGULATION,early_wound_vs_normal_skin,Up,Up,2.370873638183724e-7,1.762041039482572e-7,1.4817960238648274e-6,1.2586007424875516e-6,116,116,TRUE
HALLMARK_ANGIOGENESIS,early_wound_vs_normal_skin,Up,Up,3.290436573217149e-7,2.2941139134486367e-7,1.8280203184539715e-6,1.337421867859138e-6,35,35,TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB,early_wound_vs_normal_skin,Up,Up,7.865461659665592e-7,3.7491066402467947e-6,3.932730829832796e-6,1.8745533201233973e-5,199,199,TRUE
HALLMARK_E2F_TARGETS,early_wound_vs_normal_skin,Up,Up,3.830740538209012e-6,5.4248875218418875e-6,1.7412456991859148e-5,2.4658579644735856e-5,200,200,TRUE
HALLMARK_IL2_STAT5_SIGNALING,early_wound_vs_normal_skin,Up,Up,1.6688348566301514e-5,3.607624130302806e-5,6.953478569292298e-5,1.3875477424241562e-4,195,195,TRUE
HALLMARK_MTORC1_SIGNALING,early_wound_vs_normal_skin,Up,Up,2.3185354658906107e-5,1.9567952743410093e-5,8.917444099579272e-5,8.153313643087539e-5,200,200,TRUE
HALLMARK_KRAS_SIGNALING_UP,early_wound_vs_normal_skin,Up,Up,4.3335665305481264e-5,8.084109970208405e-5,1.5477023323386165e-4,2.694703323402802e-4,192,192,TRUE
HALLMARK_MYC_TARGETS_V1,early_wound_vs_normal_skin,Up,Up,7.74579274067496e-5,5.738307263059019e-5,2.58193091355832e-4,2.049395451092507e-4,199,199,TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,early_wound_vs_normal_skin,Up,Up,5.783798522244971e-4,9.407772216556313e-4,0.0018074370382015533,0.002613270060154531,48,48,TRUE
HALLMARK_G2M_CHECKPOINT,early_wound_vs_normal_skin,Up,Up,7.746747962690902e-4,8.485928795021253e-4,0.002278455283144383,0.0024958614103003686,199,199,TRUE
HALLMARK_APICAL_JUNCTION,early_wound_vs_normal_skin,Up,Up,9.001244911406007e-4,4.911968849343083e-4,0.002500345808723891,0.0015349902654197135,193,193,TRUE
HALLMARK_APOPTOSIS,early_wound_vs_normal_skin,Up,Up,0.0025967607505734736,0.0037405746997223135,0.006534195522039769,0.009351436749305784,159,159,TRUE
HALLMARK_GLYCOLYSIS,early_wound_vs_normal_skin,Up,Up,0.0026136782088159076,0.0021200200224296014,0.006534195522039769,0.005579000059025267,191,191,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,early_wound_vs_normal_skin,Up,Up,0.005577554489847733,0.005234168660723426,0.013279891642494601,0.012462306335055776,111,111,TRUE
HALLMARK_UV_RESPONSE_UP,early_wound_vs_normal_skin,Up,Up,0.006349159353591933,0.006487706357184501,0.014429907621799848,0.014744787175419322,154,154,TRUE
HALLMARK_HYPOXIA,early_wound_vs_normal_skin,Up,Up,0.011607392476625716,0.013453041119714999,0.025233461905708077,0.029245741564597822,194,194,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,early_wound_vs_normal_skin,Up,Up,0.014060048503280681,0.016594179769289962,0.029291767715168088,0.03457120785268742,200,200,TRUE
HALLMARK_MYC_TARGETS_V2,early_wound_vs_normal_skin,Up,Up,0.018036715532545714,0.017921754269345187,0.03607343106509143,0.03584350853869037,58,58,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,early_wound_vs_normal_skin,Up,Up,0.02344314573546048,0.027009396506915893,0.04508297256819323,0.050017400938733136,182,182,FALSE
HALLMARK_ANDROGEN_RESPONSE,early_wound_vs_normal_skin,Up,Up,0.03255102644048606,0.023819979723654516,0.0602796785934927,0.045807653314720226,99,99,FALSE
HALLMARK_ADIPOGENESIS,early_wound_vs_normal_skin,Up,Up,0.050007484055170325,0.05043824997066127,0.08929907866994702,0.08578533354252549,198,198,FALSE
HALLMARK_TGF_BETA_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.06673392362767988,0.04293431899954349,0.11505848901324117,0.07666842678489909,53,53,FALSE
HALLMARK_UV_RESPONSE_DN,early_wound_vs_normal_skin,Up,Up,0.07966984828612207,0.051471200125515294,0.13278308047687012,0.08578533354252549,143,143,FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING,early_wound_vs_normal_skin,Down,Down,0.08657101291607995,0.08575458448721478,0.13963066599367732,0.1383138459471206,39,39,FALSE
HALLMARK_PANCREAS_BETA_CELLS,early_wound_vs_normal_skin,Up,Up,0.10489711902544889,0.09564527982749492,0.16390174847726388,0.14944574973046082,26,26,FALSE
HALLMARK_KRAS_SIGNALING_DN,early_wound_vs_normal_skin,Down,Down,0.11630400487080678,0.1050327629264052,0.17621818919819207,0.15914054988849274,150,150,FALSE
HALLMARK_DNA_REPAIR,early_wound_vs_normal_skin,Up,Up,0.14209051681557272,0.1895866036464971,0.2073183214445507,0.2598275168400748,150,150,FALSE
HALLMARK_MYOGENESIS,early_wound_vs_normal_skin,Up,Up,0.14512282501118548,0.12501048903056344,0.2073183214445507,0.18383895445671095,180,180,FALSE
HALLMARK_HEME_METABOLISM,early_wound_vs_normal_skin,Down,Down,0.19548495549263858,0.1724587664358955,0.2715068826286647,0.2463696663369936,184,184,FALSE
HALLMARK_FATTY_ACID_METABOLISM,early_wound_vs_normal_skin,Up,Up,0.24053447473255937,0.26981440056445155,0.32504658747643156,0.3550189481111205,152,152,FALSE
HALLMARK_HEDGEHOG_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.2571923666228517,0.19227236246165536,0.3384110087142786,0.2598275168400748,33,33,FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING,early_wound_vs_normal_skin,Up,Up,0.2753665454813648,0.2888684767452202,0.3471286725702522,0.3610855959315252,102,102,FALSE
HALLMARK_NOTCH_SIGNALING,early_wound_vs_normal_skin,Down,Down,0.2777029380562018,0.2780122007602114,0.3471286725702522,0.35642589841052746,32,32,FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY,early_wound_vs_normal_skin,Down,Down,0.3712699818288966,0.44725161142268877,0.45276827052304464,0.53244239455082,197,197,FALSE
HALLMARK_BILE_ACID_METABOLISM,early_wound_vs_normal_skin,Down,Down,0.43130803801753925,0.39275340757428323,0.51346195002088,0.4789675702125405,97,97,FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,early_wound_vs_normal_skin,Up,Up,0.5180639106881751,0.5256778881651841,0.6023998961490409,0.5973612365513457,73,73,FALSE
HALLMARK_P53_PATHWAY,early_wound_vs_normal_skin,Down,Down,0.586476194759431,0.5189228229842633,0.6664502213175353,0.5973612365513457,200,200,FALSE
HALLMARK_ESTROGEN_RESPONSE_LATE,early_wound_vs_normal_skin,Down,Down,0.7055810720744027,0.7969870664066638,0.7698403272426645,0.8155048407448346,195,195,FALSE
HALLMARK_PEROXISOME,early_wound_vs_normal_skin,Down,Down,0.7161865153431757,0.6631580724048949,0.7698403272426645,0.7368423026721055,97,97,FALSE
HALLMARK_MITOTIC_SPINDLE,early_wound_vs_normal_skin,Up,Up,0.7283360086300883,0.7322523344191816,0.7698403272426645,0.7789918451267889,199,199,FALSE
HALLMARK_SPERMATOGENESIS,early_wound_vs_normal_skin,Up,Up,0.7390467141529579,0.7322408955328146,0.7698403272426645,0.7789918451267889,103,103,FALSE
HALLMARK_PROTEIN_SECRETION,early_wound_vs_normal_skin,Up,Up,0.8653615883710593,0.799194743929938,0.8830220289500604,0.8155048407448346,95,95,FALSE
HALLMARK_APICAL_SURFACE,early_wound_vs_normal_skin,Down,Up,0.9948305268014325,0.9261202906557889,0.9948305268014325,0.9261202906557889,43,43,FALSE
HALLMARK_E2F_TARGETS,hypertrophic_scar_vs_late_wound,Down,Down,4.628407923105961e-22,1.883893581317954e-14,2.3142039615529805e-20,2.4321740540633486e-13,200,200,TRUE
HALLMARK_TNFA_SIGNALING_VIA_NFKB,hypertrophic_scar_vs_late_wound,Down,Down,1.034532694616253e-20,2.506819945110853e-15,2.5863317365406327e-19,1.2534099725554266e-13,199,199,TRUE
HALLMARK_G2M_CHECKPOINT,hypertrophic_scar_vs_late_wound,Down,Down,2.0353068561511025e-18,2.228367762164162e-11,3.392178093585171e-17,1.5916912586886872e-10,199,199,TRUE
HALLMARK_MYC_TARGETS_V1,hypertrophic_scar_vs_late_wound,Down,Down,7.634754235951604e-17,5.559994692333163e-7,9.543442794939505e-16,3.0888859401850907e-6,199,199,TRUE
HALLMARK_ALLOGRAFT_REJECTION,hypertrophic_scar_vs_late_wound,Down,Down,2.1240291701722854e-16,1.8270300170263513e-14,2.1240291701722853e-15,2.4321740540633486e-13,189,189,TRUE
HALLMARK_INFLAMMATORY_RESPONSE,hypertrophic_scar_vs_late_wound,Down,Down,5.840481760820801e-16,2.358531705169316e-13,4.867068134017335e-15,2.358531705169316e-12,194,194,TRUE
HALLMARK_IL6_JAK_STAT3_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,2.2255665276784776e-15,1.945739243250679e-14,1.5896903769131983e-14,2.4321740540633486e-13,85,85,TRUE
HALLMARK_INTERFERON_GAMMA_RESPONSE,hypertrophic_scar_vs_late_wound,Down,Down,1.1322693816530503e-14,3.5167180766437736e-12,7.076683635331564e-14,2.930598397203145e-11,199,199,TRUE
HALLMARK_MTORC1_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,3.272165105749747e-11,4.9857438863035506e-5,1.8178695031943036e-10,2.077393285959813e-4,200,200,TRUE
HALLMARK_COMPLEMENT,hypertrophic_scar_vs_late_wound,Down,Down,5.844222312328128e-11,8.3325769082657e-9,2.9221111561640643e-10,5.2078605676660624e-8,192,192,TRUE
HALLMARK_INTERFERON_ALPHA_RESPONSE,hypertrophic_scar_vs_late_wound,Down,Down,3.904073968039694e-8,4.104161939471695e-6,1.7745790763816794e-7,2.0520809697358478e-5,97,97,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,hypertrophic_scar_vs_late_wound,Down,Down,1.5327674292595285e-7,0.0015127865127433165,6.386530955248036e-7,0.004449372096303872,200,200,TRUE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,hypertrophic_scar_vs_late_wound,Down,Down,3.1282163650245335e-7,6.146219176351063e-5,1.2031601403940514e-6,2.3639304524427165e-4,48,48,TRUE
HALLMARK_MYC_TARGETS_V2,hypertrophic_scar_vs_late_wound,Down,Down,1.4202383734308534e-6,0.001000400667548621,5.072279905110191e-6,0.0031262520860894406,58,58,TRUE
HALLMARK_IL2_STAT5_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,6.515033103742556e-6,2.3467601686879506e-5,2.1716777012475188e-5,1.0667091675854322e-4,195,195,TRUE
HALLMARK_UV_RESPONSE_UP,hypertrophic_scar_vs_late_wound,Down,Down,1.9077426512943938e-5,4.3349727552889037e-4,5.961695785294981e-5,0.0014449909184296346,154,154,TRUE
HALLMARK_APOPTOSIS,hypertrophic_scar_vs_late_wound,Down,Down,4.489936938466138e-5,3.910828981430814e-4,1.3205696877841583e-4,0.0013967246362252908,159,159,TRUE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,hypertrophic_scar_vs_late_wound,Down,Down,1.316689879696828e-4,0.0186321933440058,3.6574718880467446e-4,0.04050476813914304,111,111,TRUE
HALLMARK_DNA_REPAIR,hypertrophic_scar_vs_late_wound,Down,Down,3.741218882518014e-4,0.010268830905448391,9.845312848731618e-4,0.028524530292912197,150,150,TRUE
HALLMARK_GLYCOLYSIS,hypertrophic_scar_vs_late_wound,Down,Down,0.0013045691565142133,0.014159132623661239,0.0031061170393195552,0.03726087532542431,191,191,TRUE
HALLMARK_HYPOXIA,hypertrophic_scar_vs_late_wound,Down,Down,0.0018777587004648974,0.016635992928101976,0.004267633410147495,0.03955377347865654,194,194,TRUE
HALLMARK_ADIPOGENESIS,hypertrophic_scar_vs_late_wound,Down,Down,0.00229013230567114,0.015617604186325204,0.004978548490589435,0.03904401046581301,198,198,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,hypertrophic_scar_vs_late_wound,Down,Down,0.0035826796866596784,0.017403660330608875,0.007059972758237562,0.03955377347865654,182,182,TRUE
HALLMARK_KRAS_SIGNALING_UP,hypertrophic_scar_vs_late_wound,Down,Down,0.011359230295730986,0.02293403194319,0.021035611658761087,0.04777923321497917,192,192,TRUE
HALLMARK_UV_RESPONSE_DN,hypertrophic_scar_vs_late_wound,Up,Up,0.0169984697825324,0.024090503496269688,0.029307706521607583,0.048181006992539376,143,143,TRUE
HALLMARK_PI3K_AKT_MTOR_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,8.232069180756897e-4,0.05649007307047223,0.0020580172951892243,0.09739667770771072,102,102,FALSE
HALLMARK_MITOTIC_SPINDLE,hypertrophic_scar_vs_late_wound,Down,Down,0.003427882113118682,0.053227082530548114,0.007059972758237562,0.09504836166169307,199,199,FALSE
HALLMARK_P53_PATHWAY,hypertrophic_scar_vs_late_wound,Down,Down,0.003671185834283532,0.09370867291212248,0.007059972758237562,0.151143020826004,200,200,FALSE
HALLMARK_FATTY_ACID_METABOLISM,hypertrophic_scar_vs_late_wound,Down,Down,0.011984897820475782,0.12873087309876385,0.021401603250849614,0.20114198921681853,152,152,FALSE
HALLMARK_COAGULATION,hypertrophic_scar_vs_late_wound,Down,Down,0.033378582004854884,0.030744398596051086,0.055630970008091474,0.0591238434539444,116,116,FALSE
HALLMARK_ANDROGEN_RESPONSE,hypertrophic_scar_vs_late_wound,Down,Down,0.04741887426697544,0.1813885626686894,0.07648205526931523,0.2748311555586203,99,99,FALSE
HALLMARK_HEDGEHOG_SIGNALING,hypertrophic_scar_vs_late_wound,Up,Up,0.06120396906653173,0.3088841230202029,0.09563120166645582,0.40642647765816176,33,33,FALSE
HALLMARK_ANGIOGENESIS,hypertrophic_scar_vs_late_wound,Down,Down,0.11488683292410527,0.03294024494428478,0.17407095897591707,0.061000453600527374,35,35,FALSE
HALLMARK_MYOGENESIS,hypertrophic_scar_vs_late_wound,Up,Up,0.14813273460291213,0.439217780755885,0.21784225676898844,0.48801975639542783,180,180,FALSE
HALLMARK_KRAS_SIGNALING_DN,hypertrophic_scar_vs_late_wound,Up,Up,0.1583158885327643,0.2092879823283915,0.22616555504680613,0.30777644460057574,150,150,FALSE
HALLMARK_SPERMATOGENESIS,hypertrophic_scar_vs_late_wound,Down,Down,0.19480015049854377,0.5099252482357659,0.27055576458131075,0.5442491168539468,103,103,FALSE
HALLMARK_TGF_BETA_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,0.22804304836254907,0.2228361811667065,0.3081662815710123,0.3183374016667236,53,53,FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY,hypertrophic_scar_vs_late_wound,Up,Up,0.3037165614916627,0.09295919867964304,0.39962705459429304,0.151143020826004,197,197,FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS,hypertrophic_scar_vs_late_wound,Down,Up,0.32311044575501435,0.9866755359498185,0.4142441612243774,0.9866755359498185,73,73,FALSE
HALLMARK_APICAL_JUNCTION,hypertrophic_scar_vs_late_wound,Down,Down,0.3611595261118079,0.24451586786580898,0.4514494076397599,0.3304268484673094,193,193,FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING,hypertrophic_scar_vs_late_wound,Up,Up,0.5361113604482379,0.51159416984271,0.6537943420100463,0.5442491168539468,39,39,FALSE
HALLMARK_HEME_METABOLISM,hypertrophic_scar_vs_late_wound,Down,Up,0.5560635055708293,0.40024069791730343,0.6619803637747967,0.4620427742205872,184,184,FALSE
HALLMARK_NOTCH_SIGNALING,hypertrophic_scar_vs_late_wound,Down,Down,0.6516523980389501,0.6882371873579916,0.7577353465569188,0.7022828442428486,32,32,FALSE
HALLMARK_BILE_ACID_METABOLISM,hypertrophic_scar_vs_late_wound,Up,Up,0.7828281435403567,0.36617963109213436,0.8895774358413144,0.4465605257221151,97,97,FALSE
HALLMARK_PEROXISOME,hypertrophic_scar_vs_late_wound,Down,Up,0.8171519511047229,0.4065976413141167,0.8914589825913293,0.4620427742205872,97,97,FALSE
HALLMARK_PANCREAS_BETA_CELLS,hypertrophic_scar_vs_late_wound,Up,Up,0.820142263984023,0.3344729140876429,0.8914589825913293,0.4221904235385159,26,26,FALSE
HALLMARK_PROTEIN_SECRETION,hypertrophic_scar_vs_late_wound,Down,Up,0.851615628323819,0.23620833301612776,0.9059740726849138,0.32806712918906633,95,95,FALSE
HALLMARK_APICAL_SURFACE,hypertrophic_scar_vs_late_wound,Down,Down,0.9394104395526859,0.6758541294227987,0.973540945975878,0.7022828442428486,43,43,FALSE
