gs_name,NGenes,Direction,PValue,FDR,mode,contrast
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,199,Up,9.16096193940946e-23,4.58048096970473e-21,stage_only,late_wound_vs_normal_skin
HALLMARK_ALLOGRAFT_REJECTION,189,Up,1.3201138415548293e-10,3.3002846038870734e-9,stage_only,late_wound_vs_normal_skin
HALLMARK_INTERFERON_GAMMA_RESPONSE,199,Up,1.6538606397173516e-9,2.7564343995289195e-8,stage_only,late_wound_vs_normal_skin
HALLMARK_INFLAMMATORY_RESPONSE,194,Up,3.1440464539480282e-9,3.930058067435035e-8,stage_only,late_wound_vs_normal_skin
HALLMARK_IL6_JAK_STAT3_SIGNALING,85,Up,4.713131395587522e-9,4.713131395587522e-8,stage_only,late_wound_vs_normal_skin
HALLMARK_COAGULATION,116,Up,1.2228793555932296e-8,1.0190661296610247e-7,stage_only,late_wound_vs_normal_skin
HALLMARK_ANGIOGENESIS,35,Up,2.0689849771777683e-8,1.316260977946477e-7,stage_only,late_wound_vs_normal_skin
HALLMARK_COMPLEMENT,192,Up,2.106017564714363e-8,1.316260977946477e-7,stage_only,late_wound_vs_normal_skin
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,Up,2.099708626265223e-6,1.1665047923695683e-5,stage_only,late_wound_vs_normal_skin
HALLMARK_IL2_STAT5_SIGNALING,195,Up,2.5849812807387706e-5,1.2924906403693852e-4,stage_only,late_wound_vs_normal_skin
HALLMARK_KRAS_SIGNALING_UP,192,Up,4.8882941131710335e-5,2.221951869623197e-4,stage_only,late_wound_vs_normal_skin
HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,Up,6.160515062038561e-5,2.5668812758494004e-4,stage_only,late_wound_vs_normal_skin
HALLMARK_APICAL_JUNCTION,193,Up,1.2886056271022912e-4,4.956175488854966e-4,stage_only,late_wound_vs_normal_skin
HALLMARK_APOPTOSIS,159,Up,0.004154380743174035,0.014837074082764412,stage_only,late_wound_vs_normal_skin
HALLMARK_MTORC1_SIGNALING,200,Up,0.00793088334973062,0.02611086663652979,stage_only,late_wound_vs_normal_skin
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,Up,0.008355477323689534,0.02611086663652979,stage_only,late_wound_vs_normal_skin
HALLMARK_GLYCOLYSIS,191,Up,0.010398195257231313,0.030582927227150922,stage_only,late_wound_vs_normal_skin
HALLMARK_HYPOXIA,194,Up,0.014094008932039293,0.039150024811220256,stage_only,late_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_DN,143,Up,0.02186175474042083,0.057530933527423236,stage_only,late_wound_vs_normal_skin
HALLMARK_E2F_TARGETS,200,Up,0.02606889771570341,0.06517224428925852,stage_only,late_wound_vs_normal_skin
HALLMARK_TGF_BETA_SIGNALING,53,Up,0.03415805822321087,0.08132871005526397,stage_only,late_wound_vs_normal_skin
HALLMARK_MYOGENESIS,180,Up,0.042628033055316705,0.09688189330753798,stage_only,late_wound_vs_normal_skin
HALLMARK_UV_RESPONSE_UP,154,Up,0.04607146025534115,0.10015534838117642,stage_only,late_wound_vs_normal_skin
HALLMARK_ANDROGEN_RESPONSE,99,Up,0.06300374450291892,0.13125780104774776,stage_only,late_wound_vs_normal_skin
HALLMARK_XENOBIOTIC_METABOLISM,182,Up,0.09747468539800533,0.19494937079601066,stage_only,late_wound_vs_normal_skin
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,111,Up,0.10958706110347707,0.2089873135897531,stage_only,late_wound_vs_normal_skin
HALLMARK_HEDGEHOG_SIGNALING,33,Up,0.11778215962947275,0.2089873135897531,stage_only,late_wound_vs_normal_skin
HALLMARK_G2M_CHECKPOINT,199,Up,0.12097155285681106,0.2089873135897531,stage_only,late_wound_vs_normal_skin
HALLMARK_PANCREAS_BETA_CELLS,26,Up,0.1212126418820568,0.2089873135897531,stage_only,late_wound_vs_normal_skin
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,Down,0.1277113108329084,0.21285218472151402,stage_only,late_wound_vs_normal_skin
HALLMARK_KRAS_SIGNALING_DN,150,Down,0.18063092790659147,0.2764146541247864,stage_only,late_wound_vs_normal_skin
HALLMARK_MYC_TARGETS_V1,199,Up,0.18108486549663028,0.2764146541247864,stage_only,late_wound_vs_normal_skin
HALLMARK_ADIPOGENESIS,198,Up,0.182433671722359,0.2764146541247864,stage_only,late_wound_vs_normal_skin
HALLMARK_HEME_METABOLISM,184,Down,0.19876019547921597,0.29229440511649407,stage_only,late_wound_vs_normal_skin
HALLMARK_ESTROGEN_RESPONSE_EARLY,197,Down,0.26209231826708396,0.3744175975244057,stage_only,late_wound_vs_normal_skin
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Up,0.29016257581561644,0.40300357752168947,stage_only,late_wound_vs_normal_skin
HALLMARK_BILE_ACID_METABOLISM,97,Down,0.3208747193262717,0.4336144855760428,stage_only,late_wound_vs_normal_skin
HALLMARK_ESTROGEN_RESPONSE_LATE,195,Down,0.39980694480681556,0.526061769482652,stage_only,late_wound_vs_normal_skin
HALLMARK_P53_PATHWAY,200,Down,0.42791656768988073,0.5486109842177959,stage_only,late_wound_vs_normal_skin
HALLMARK_PEROXISOME,97,Down,0.46211738245686207,0.5776467280710775,stage_only,late_wound_vs_normal_skin
HALLMARK_NOTCH_SIGNALING,32,Down,0.5357423786388718,0.653344364193746,stage_only,late_wound_vs_normal_skin
HALLMARK_MITOTIC_SPINDLE,199,Up,0.5656796337197632,0.6734281353806704,stage_only,late_wound_vs_normal_skin
HALLMARK_FATTY_ACID_METABOLISM,152,Up,0.6712666516162109,0.7656904790897565,stage_only,late_wound_vs_normal_skin
HALLMARK_APICAL_SURFACE,43,Up,0.6738076215989857,0.7656904790897565,stage_only,late_wound_vs_normal_skin
HALLMARK_PI3K_AKT_MTOR_SIGNALING,102,Up,0.6951097735306149,0.7723441928117943,stage_only,late_wound_vs_normal_skin
HALLMARK_DNA_REPAIR,150,Up,0.720969743518411,0.783662764693925,stage_only,late_wound_vs_normal_skin
HALLMARK_SPERMATOGENESIS,103,Down,0.873944277680584,0.9127137194540066,stage_only,late_wound_vs_normal_skin
HALLMARK_PROTEIN_SECRETION,95,Up,0.8762051706758462,0.9127137194540066,stage_only,late_wound_vs_normal_skin
HALLMARK_MYC_TARGETS_V2,58,Up,0.9638513198923462,0.9665779105992045,stage_only,late_wound_vs_normal_skin
HALLMARK_CHOLESTEROL_HOMEOSTASIS,73,Up,0.9665779105992045,0.9665779105992045,stage_only,late_wound_vs_normal_skin
